Date,Type,Track,Car,Laps,Total Distance (mi),Fastest Lap,Max Speed,Quali Pos,Race Pos,Notes,
1/29/2022,HPDE,Barber,2022 Carrera S,19,45.22,1:59.01,115.7,--,--,PTX,
1/29/2022,HPDE,Barber,2022 Caymen GTS,13,30.94,2:03.41,114.8,--,--,PTX,
1/30/2022,HPDE,Barber,2022 Carrera S,12,28.56,1:49.33,119.6,--,--,PTX,
1/30/2022,HPDE,Barber,2022 911 Turbo S,12,28.56,1:51.85,126.6,--,--,PTX,
4/28/2022,HPDE,Poconos (North),2018 911 GT3,36,54.00,1:02.96,128,--,--,PCA. Apprx. laps and time based on video,
5/24/2022,HPDE,Barber,2022 Carrera S,26,61.88,1:44.66,120.7,--,--,PTX,
5/25/2022,HPDE,Barber,2022 Carrera S,38,90.44,1:43.99,121.3,--,--,PTX,
5/25/2022,HPDE,Barber,2022 911 Turbo S,14,33.32,1:43.90,128.9,--,--,PTX,
6/2/2022,HPDE,MMC (South),2018 911 GT3,10,16.00,,--,--,--,Private. Apprx.laps,
6/2/2022,HPDE,MMC,2018 911 GT3,10,36.00,,--,--,--,Private Apprx. Laps,
6/15/2022,HPDE,Barber,2022 Carrera GTS,25,59.50,1:43.28,121.7,--,--,PTX,
6/16/2022,HPDE,Barber,2022 Carrera GTS,43,102.34,1:41.72,124.2,--,--,PTX,
6/16/2022,HPDE,Barber,2022 911 GT3,16,38.08,1:40.03,124.1,--,--,PTX,
6/17/2022,HPDE,Barber,2022 Carrera GTS,38,90.44,1:40.57,123.3,--,--,PTX,
6/17/2022,HPDE,Barber,2022 911 GT3,16,38.08,1:38.94,125.2,--,--,PTX,
6/28/2022,HPDE,NJMP Thunderbolt,2018 911 GT3,36,81.00,1:37.64,139,--,--,PCA,
7/30/2022,HPDE,LimeRock,2018 911 GT3,59,90.27,1:02.22,137,--,--,Private,
10/1/2022,HPDE,NJMP Lightning,2018 911 GT3,41,77.90,1:15.83,147,--,--,PCA,
10/22/2022,HPDE,LimeRock,1999 NB Miata,40,61.20,1:08.7,107,--,--,SCDA. Laps & Max Speed Apprx,
11/19/2022,HPDE,LimeRock,2008 BMW M3,103,157.59,1:05:00,130,--,--,"Rental stock M3 with BFG tires. 30 degrees. apprx speed, laptimes from video playback",
4/7/2023,HPDE,MMC (South),2018 911 GT3,5,8.00,,--,--,--,MMC Solo Test - Apprx.laps,
4/7/2023,HPDE,MMC,2018 911 GT3,16,57.60,2:42.7,--,--,--,,
4/13/2023,HPDE,MMC (South),2010 Caymen Race,45,72.00,,--,--,--,MMC Race School Apprx.laps,
4/13/2023,Race,MMC (South),2010 Caymen Race,5,8.00,,--,2,2,MMC Race School Apprx.laps,
4/22/2023,HPDE,MMC (South),1999 NB Miata,20,32.00,,--,--,--,Apprx Laps,
4/22/2023,Practice,MMC,1999 NB Miata,11,39.60,2:52,109,--,--,Apprx Laps,
5/12/2023,Quali,MMC (South),1999 NB Miata,15,24.00,1:26,--,*,--,Quali did not count - beginners start from back (car Q4),
5/12/2023,Race,MMC (South),1999 NB Miata,17,27.20,1:24,--,27,24,Queally Race #1 (car Q4),
5/12/2023,Race,MMC (South),1999 NB Miata,16,25.60,1:25,--,25,24,Queally Race #2 (car Q4),
5/12/2023,Race,MMC (South),1999 NB Miata,13,20.80,1:24,--,25,25,Queally Race #3 (car Q4),
5/12/2023,HPDE,MMC,2018 911 GT3,5,18.00,,--,--,--,,
6/9/2023,Quali,MMC (South),1999 NB Miata,12,19.20,,--,17,--,Car Q5 -apprx laps,These should be comped
6/9/2023,Race,MMC (South),1999 NB Miata,17,27.20,1:26,--,18,19,"Queally Race #1 (car Q5 - coolant leak, down on power), apprx laps",
6/9/2023,Race,MMC (South),1999 NB Miata,12,19.20,1:23,--,18,DNF,"Queally Race #2 (car Q2) - low voltage, down on power. Asthma/Anxiety ended race early",
6/9/2023,Race,MMC (South),1999 NB Miata,11,17.60,1:23,--,18,17,"Queally Race #3 (car Q2) - low voltage, down on power, poor brake pressure",
7/1/2023,HPDE,MMC,2018 911 GT3,36,129.60,2:34,,,,,
7/1/2023,HPDE,MMC (North),2018 911 GT3,12,22.80,1:26,--,,,,
7/15/2023,HPDE,MMC,2010 Caymen Race,14,50.40,,,,,Endurance Race,
